7:302,58,616,29,69067,34542,76684,7436,89202,650
18:63137,44561,114759,120011,108445,63338,116824,67521,17653,31675
19:17,669,866,302,76,224,654,58,81,616
36:3460,59919,17,77914,88545,23481,59253,616,654,85112
37:17,1239,6009,38009,16288,48909,37033,616,22671,302
41:17,75896,11686,39072,302,4499,616,3890,654,88233
42:35036,114471,518,44625,84,1102,17,2193,3824,131
43:105117,2983,17,8839,14574,74157,100297,29707,40139,68555
44:302,616,76,8,84,15,542,6,564,518
45:347,117051,80330,110820,53818,8476,23970,4858,31315,76
46:18256,109,7506,302,38663,78165,92004,8,616,58
59:75512,100943,37900,14279,616,654,16134,122312,77914,58
60:6011,302,6848,33040,65553,15283,58,121442,65539,616
69:302,654,58,76,564,650,29,120009,101,508
70:25441,111732,37657,59931,4474,90654,68787,81381,62686,47902
94:17,119,302,654,616,1152,58,76,12066,84
106:67595,29,8,84,115775,51366,518,70,736,15
115:966,58,8,1360,118281,88238,55584,518,29,138
116:29001,79201,122461,56899,986,834,35934,45998,118588,17
142:81,58,8,84,29,301,1102,61,32,986
143:49245,86747,394,3231,483,15754,17,5662,591,616
148:5545,17,378,83938,986,48663,100768,19850,70,8
150:109564,8775,120195,81416,17,302,654,29,103429,33859
156:107440,97027,51527,27882,80575,104271,568,85627,12789,80448
161:13062,1926,38755,122777,84,12259,70943,616,121585,105269
171:62996,71184,28641,302,166,84,101243,18853,113106,92524
172:654,58,28042,53409,44250,60120,8,76,861,84
174:91046,19585,38437,3233,4364,2233,373,245,1099,83263
177:45703,17,44036,79712,104626,654,97532,58,29,616
196:650,616,29,81,76,4578,354,542,564,736
202:302,58,8,40582,40489,76528,85756,542,518,40666
211:118581,23308,22257,9158,53187,39320,16661,4937,112273,114843
217:17,102325,55991,29109,7792,105088,18700,2548,518,302
220:10178,7649,58456,93455,186,22713,13192,1812,39446,68179
223:38851,302,654,616,58,117583,2771,84869,29,69387
224:1467,61573,1159,4965,56792,55337,53301,62485,28121,60843
225:32619,302,353,36367,654,64878,616,58,98188,84
228:4285,117727,62699,95207,60248,80589,91860,17,22710,101951
229:58,34237,121042,52478,84,108740,518,1102,57286,103883
231:2904,42667,61332,69435,8112,302,654,616,76,58
232:55056,24068,5844,40084,28540,63448,87726,50038,79914,29848
238:67951,41864,118956,75887,441,41727,66781,95611,106885,29375
241:52074,104431,47335,66489,121210,88501,8572,616,58,1666
245:81,262,16786,62162,8588,12895,2677,35859,14059,3939
249:91955,17,8483,17432,91921,7744,34320,53026,302,654
250:285,108331,24489,302,616,62699,95207,654,84,58
253:56986,189,36979,16939,22262,52155,106687,1527,3107,17
257:17,63566,354,42381,121621,54993,84,542,11580,5643
272:5685,8171,28964,58119,98580,71692,654,64952,104521,28305
273:17,42129,116262,302,654,97277,43740,82660,74893,89730
288:17,616,94933,5998,58,650,76,84,29,70
290:13501,60837,51958,48854,82177,17,26599,112459,5581,226
291:61628,16625,76421,15989,50787,23,16852,26067,17,2528
292:73982,654,15586,616,58,114580,76,5151,542,866
294:6883,9763,17,302,38088,116055,8,76,1102,29
328:245,1902,43507,302,654,58,84,29,616,866
331:39854,17,302,81840,101284,616,654,58,64806,64762
345:29573,1754,11401,62840,77581,385,805,39936,3250,11281
361:84514,62329,616,58,29,8,650,76,138,518
376:17,302,58,29,616,8683,15667,32320,88853,4930
384:17,302,616,654,1684,76112,69892,8,1979,6985
401:56079,39914,616,2924,80879,58,97119,58240,1009,1102
402:4793,302,654,3304,121814,56865,48135,30114,8,84
410:4755,56649,95211,98765,90286,76,99264,2880,3172,4825
448:598,116721,70146,110038,37208,91404,44877,45777,63095,48469
449:5910,20274,17,109041,106269,121630,48735,302,46481,54210
450:302,654,76,84,29,15,1102,138,354,301
452:81165,113796,44877,29121,60968,43646,52960,79249,47527,85485
476:87499,91432,78603,92687,398,8213,68810,115662,122962,20068
488:17,376,302,39848,616,4478,58,74083,84924,3304
490:17,302,29,76,650,138,15,101,289,354
494:17,356,1212,9942,82398,46278,6923,57683,616,654
500:17,76,302,30954,41534,116399,69597,86721,13990,69794
514:79201,86193,95615,76,73857,10835,32309,106381,92209,17
525:98951,4143,1498,88699,102387,302,68511,70,616,654
535:17,29,1102,8,76,650,13063,16586,31663,518
536:104462,103732,97,68328,106395,83975,302,813,654,616
